FULL_NAME,SSAN,AGE,GRADE,DEROS,ASSIGNED_PAS,HOME_ZIP_CODE,SUPV_NAME,DUTY_TITLE,DUTY_START_DATE,DAFSC,CAFSC,PAFSC,OFFICE_SYMBOL,DOR,DATE_ARRIVED_STATION,DUTY_PHONE,TAFMSD,DOE,DOS,ETS,HOME_ADDRESS,HOME_CITY,HOME_STATE,DATE_OF_BIRTH,PROJ_EVAL_CLOSE_DATE,MARITAL_STATUS,RNLTD,GAINING_PAS,LAST_EVAL_CLOSE_DATE,SUPV_BEGIN_DATE,HOME_PHONE_NUMBER
Luce Dufoure,884-10-3737,23,A1C,,OP1CFR72,50981,Claudell Scola,Structural Engineer,11/15/17,-3D152,,,SCOK,9/9/18,12/17/11,515-164-4400,6/7/08,10/25/18,7/10/24,7/27/23,306 Menomonie Place,Des Moines,Iowa,2/21/68,,M,,,,2/3/14,316-322-7596
Clary Rablan,635-93-2166,22,AMN,,OP1CFR72,93786,Christiana Bottrill,Nurse Practicioner,7/14/17,-3D152,,,STU,10/25/14,11/9/12,559-726-9789,8/13/01,2/10/18,12/21/23,11/23/21,4 Lake View Lane,Fresno,California,11/15/78,,S,,,,7/5/17,432-300-8735
Seward Free,271-07-7185,6,MSG,1/21/22,OP1CF333,1654,Matthiew Durnford,Speech Pathologist,10/5/18,-3D190,,,GSII,8/27/18,11/5/13,508-738-2229,11/27/97,1/13/18,6/24/23,4/1/25,05 Corscot Hill,Worcester,Massachusetts,3/10/86,,S,12/13/20,,,2/23/14,561-513-6793
Willdon Bloxholm,230-02-5323,6,A1C,4/15/20,OP1CFS14,89012,Aigneis Pierse,Recruiter,9/21/18,-3D131,,,SCOK,3/24/07,3/21/13,702-317-3825,9/24/08,12/9/17,5/31/21,6/21/24,443 Kensington Circle,Henderson,Nevada,12/16/60,,S,,,,9/5/16,281-784-4993
Marty Edgcumbe,595-40-4432,19,A1C,10/30/22,OP1CF333,32277,Sydney Haws,Design Engineer,7/12/16,-8H000,,,DOM,8/12/09,3/14/17,904-851-0944,4/20/14,6/30/18,8/23/23,4/25/20,0048 Ridgeway Street,Jacksonville,Florida,7/9/65,,S,,,,1/2/16,321-469-2204
Jasmina Obert,574-58-1720,16,SMS,,OP1CF333,97312,Caressa Bielfelt,Administrative Assistant IV,6/13/16,-8H000,,,SLK,5/11/07,11/16/17,971-647-9280,2/14/08,12/25/17,6/24/24,6/24/24,850 Sunnyside Pass,Salem,Oregon,11/4/56,,S,2/1/19,,,7/13/18,339-732-1897
Damien Sulman,199-96-2784,39,TSG,1/1/20,OP1CFR72,80270,Hamnet Ruhben,Automation Specialist III,10/16/16,-1N131A,,,TSD,7/31/17,2/25/14,303-744-8415,4/29/02,9/22/18,8/4/25,4/25/24,577 Warner Crossing,Denver,Colorado,11/5/75,,S,,,,9/25/16,334-946-9208
Coral Hedaux,584-83-0289,18,SRA,,OP1CFNY2,68144,Maighdiln Flute,Health Coach III,12/11/15,-3D152,,,SCOK,12/22/09,2/14/13,402-993-4488,8/10/11,3/31/18,4/15/25,8/12/22,1 Bashford Park,Omaha,Nebraska,10/21/55,,S,4/6/21,,,12/8/16,949-817-4992
Harlene Stirland,252-71-3155,23,AMN,,OP1CFNY2,20508,James Daout,Accounting Assistant II,10/9/17,-1N371H,,,DOOE,12/26/08,9/14/17,202-798-4229,3/5/05,3/20/18,12/22/24,8/8/21,50483 Meadow Valley Plaza,Washington,District of Columbia,4/20/74,,S,5/6/19,,,3/6/10,508-892-9418
Tiffanie Macia,149-55-4498,9,AMN,,OP1CFNY2,48295,Trevor Barrim,Junior Executive,8/4/17,-8H000,,,SCOI,6/2/13,1/29/17,313-438-5241,10/25/05,11/29/18,11/24/23,11/10/20,22 Orin Park,Detroit,Michigan,2/12/95,,S,,,,12/21/05,813-423-8723
Camilla Coon,453-64-1165,21,AMN,5/20/20,OP1CFT2N,22111,Asa Calrow,Executive Secretary,7/7/17,-1N471B,,,GS,3/18/07,8/12/15,434-739-3641,10/1/04,1/9/18,8/7/21,10/12/25,3321 Logan Way,Manassas,Virginia,11/24/66,,S,,,,9/18/08,434-525-9358
Laughton Ciotti,438-56-1132,21,AMN,,OP1CFT2N,90015,Isa Offener,Senior Financial Analyst,2/7/18,-3A151,,,SLK,10/6/16,7/15/15,213-399-8900,10/11/01,8/3/18,5/28/20,8/31/23,3 Sherman Street,Los Angeles,California,6/6/76,,S,,,,5/20/08,301-947-2439
Nolan Rudolfer,406-75-8574,21,CMS,,OP1CFNY2,35263,Dorey Hurley,Software Engineer III,2/13/17,-3D153,,,TSD,5/3/15,11/25/16,205-734-0593,3/18/99,1/25/18,8/13/23,6/29/19,9849 Prairieview Place,Birmingham,Alabama,1/16/54,,M,,,,10/31/14,862-747-7740
Eugenius Collihole,714-93-1439,38,TSG,,OP1CFT2N,24020,Nester Crich,Web Designer III,7/27/18,-1N471B,,,DOM,8/20/15,7/2/13,540-868-5884,10/10/99,2/4/18,9/1/20,4/4/24,2 Talisman Parkway,Roanoke,Virginia,5/15/75,,M,,,,1/23/15,502-725-4454
Karim Grattage,766-36-8968,36,MSG,8/15/20,OP1CF333,75799,Nisse Dumbar,Chemical Engineer,11/28/16,-1N471B,,,SLK,10/22/10,8/6/13,903-550-9668,5/22/13,8/2/18,5/11/22,8/24/20,8562 Bluestem Park,Tyler,Texas,5/23/58,,S,3/28/20,,,4/13/17,859-537-7959
Almire Fewless,768-05-0731,26,SSG,,OP1CFR72,34114,Doug Danelet,Editor,8/7/17,-1N051,,,SCXL,1/1/07,12/13/11,239-762-3643,11/2/08,11/24/18,6/18/20,12/21/20,1577 Ridgeview Drive,Naples,Florida,8/26/91,,M,,,,6/18/08,513-195-7985
Ines Veljes,371-96-8209,11,TSG,,OP1CFT2N,79955,Charmion McCarver,Administrative Officer,2/9/18,-3S071,,,ART,1/17/11,10/7/18,915-257-3987,3/7/01,7/30/18,8/19/25,5/14/25,97991 Elmside Alley,El Paso,Texas,1/16/98,,M,,,,5/3/06,971-468-1956
Lammond Kliesl,154-43-8818,38,CMS,,OP1CF333,77234,Lazar Georgot,Actuary,1/5/17,-2T25,,,SCOK,9/5/11,5/18/14,713-911-6339,6/21/01,9/6/18,5/12/22,10/7/23,5053 Northridge Way,Houston,Texas,10/19/82,,S,,,,6/2/06,202-442-9693
Eveline Abells,569-03-2307,28,AMN,1/22/20,OP1CFR72,20226,Frasquito Clewes,Senior Quality Engineer,6/19/16,-3D131,,,SGPF,9/7/08,5/30/12,202-340-6363,12/20/06,9/9/18,12/15/20,12/20/23,9335 Clemons Terrace,Washington,District of Columbia,10/25/60,,S,,,,2/8/08,202-852-5204
Faustina Ccomini,610-46-2352,6,SRA,8/26/20,OP1CFR72,91125,Karel Moules,Actuary,7/2/18,-1N371H,,,SGPF,11/11/07,11/8/17,626-919-4412,10/15/97,1/20/18,2/24/22,10/24/24,9 Grayhawk Road,Pasadena,California,4/20/63,,M,1/31/21,,,6/24/13,602-558-1026
Laurena Manus,821-60-6464,5,CMS,12/31/19,OP1CFR72,36670,Krysta Mearns,Food Chemist,9/10/17,-1N371H,,,DOML,5/8/09,1/15/18,251-588-6056,10/24/03,10/23/18,8/28/22,11/24/25,727 Vermont Avenue,Mobile,Alabama,7/9/83,,S,,,,1/24/12,718-816-6502
Kayla Coules,727-46-7161,7,TSG,10/23/20,OP1CFR72,27710,Brigg Goodhand,Media Manager IV,10/24/18,-1N051,,,IN,8/11/09,12/15/14,919-215-7905,1/14/05,7/31/18,5/4/24,6/4/22,79 North Lane,Durham,North Carolina,8/14/81,,S,2/27/19,,,6/6/09,719-151-6836
Isadora Mangham,525-15-7520,30,SMS,,OP1CFT2N,92153,Haleigh Harnor,Operator,8/26/18,-3D153,,,CSS,7/20/08,9/6/14,619-844-5043,8/23/16,3/10/18,4/24/25,8/6/23,7351 Elka Terrace,San Diego,California,10/14/53,,S,,,,9/13/16,704-627-6961
Forester Bendon,523-79-2756,36,SRA,9/17/22,OP1CFT2N,80930,Xerxes Janusik,Pharmacist,11/15/17,-2T25,,,SCOT,6/5/09,5/10/18,719-306-8281,4/12/04,3/23/18,10/7/19,8/2/21,481 Caliangt Alley,Colorado Springs,Colorado,8/12/65,,S,,,,7/15/14,203-269-1060
Lanni Ramshay,553-60-3161,39,A1C,9/30/19,OP1CFNY2,73179,Bartholomeus Wiffill,Desktop Support Technician,3/28/18,-1N371H,,,TSD,2/26/08,3/16/18,405-560-3365,1/29/03,2/1/18,3/28/24,9/29/25,97 Kropf Parkway,Oklahoma City,Oklahoma,5/28/97,,M,4/7/21,,,10/8/09,203-649-8737
Bordie Ridder,337-73-1392,4,TSG,10/13/21,OP1CFS14,90025,Damien Absolon,Developer I,6/15/17,-3D190,,,SCXL,11/19/08,8/7/13,424-109-9221,7/5/09,4/25/18,3/21/24,6/14/22,163 Helena Alley,Los Angeles,California,1/8/77,,M,,,,5/29/13,912-266-6802
Fanny Kilian,860-53-6283,21,A1C,,OP1CFT2N,85311,Emilie Fahrenbacher,Web Developer II,4/21/18,-3D153,,,GS,7/29/08,7/22/12,602-733-1521,11/28/09,3/7/18,9/2/21,9/17/19,4 Moulton Circle,Glendale,Arizona,8/28/64,,S,3/18/19,,,6/13/15,202-570-0973
Corty Sheringham,716-70-5189,15,SSG,,OP1CFS14,95397,Maximilianus Oxtoby,Assistant Media Planner,6/1/16,-1N271A,,,SLK,7/21/18,11/21/13,209-445-0797,11/8/98,9/30/18,9/23/23,10/13/22,89 Farragut Circle,Modesto,California,9/29/85,,S,,,,1/22/09,415-657-1139
Had Schenkel,624-67-4085,3,CMS,9/2/19,OP1CFR72,98411,Tomkin Shadrach,VP Marketing,7/10/18,-3D190,,,SCXP,4/25/12,7/16/16,253-435-1774,11/14/12,7/12/18,9/8/22,10/7/25,152 Green Place,Tacoma,Washington,9/14/77,,S,,,,2/1/15,831-734-5502
Orlan Mokes,730-52-9114,6,CMS,1/23/19,OP1CFS14,19892,Faunie Zavattari,Account Representative I,6/21/18,-3D190,,,STU,4/11/13,11/23/12,302-715-3409,6/22/16,9/25/18,11/5/25,1/12/20,63 Orin Parkway,Wilmington,Delaware,3/29/89,,S,,,,9/9/09,405-919-2292
Constanta Sowerbutts,458-19-3697,38,CMS,,OP1CFT2N,39236,Edi Petzolt,Clinical Specialist,12/25/17,-8H000,,,DOOE,9/1/13,9/10/13,601-518-7572,9/21/07,5/9/18,4/27/21,11/7/23,88 Oak Pass,Jackson,Mississippi,1/4/92,,S,,,,2/11/06,646-459-3212
Osbourne Cowderay,790-97-1087,37,SMS,,OP1CFR72,48555,Hillyer Sweeten,Software Test Engineer II,11/20/17,-2T25,,,SCOO,5/18/07,1/17/17,810-302-3193,2/25/98,7/17/18,10/15/20,10/2/19,9572 Trailsway Park,Flint,Michigan,7/27/78,,M,,,,8/28/06,704-766-8713
Bartholemy Albinson,784-85-8859,7,CMS,,OP1CFS14,94250,Desmond Calverd,Administrative Assistant IV,1/26/17,-1N471B,,,SCOK,11/22/14,11/21/13,916-470-8471,9/7/08,11/11/18,4/7/24,2/8/22,344 Butternut Lane,Sacramento,California,10/20/74,,M,,,,5/4/14,505-713-1999
Nolie Allright,415-74-5124,12,SMS,,OP1CFS14,33190,Daphene Boughton,Assistant Media Planner,7/25/18,-1N051,,,CSS,5/7/06,1/19/16,786-857-4906,9/7/04,6/14/18,10/3/20,11/8/25,96631 Jenna Crossing,Miami,Florida,10/1/83,,M,8/10/20,,,10/28/17,801-817-4178
Morten Bantham,226-63-4777,34,TSG,,OP1CF333,27116,Amberly Coare,Quality Control Specialist,12/1/17,-3D172,,,CCC,5/14/08,9/14/15,336-256-5887,6/4/05,5/5/18,11/14/20,10/16/25,5044 Merrick Avenue,Winston Salem,North Carolina,8/10/84,,M,1/11/21,,,10/26/16,260-679-1780
Maggi Farnall,398-44-3478,22,A1C,,OP1CFS14,67210,Renard Doreward,Software Consultant,6/3/17,-1N051,,,IRDP,4/14/13,11/30/14,316-375-6940,2/9/07,7/17/18,3/29/21,4/21/23,22 Magdeline Terrace,Wichita,Kansas,8/28/88,,S,,,,3/17/16,518-162-3346
Leta Bernier,347-52-9347,19,MSG,5/3/21,OP1CFS14,44720,Ferd Farndon,VP Quality Control,6/28/17,-1N271A,,,DOOE,3/13/08,12/21/17,234-265-8035,7/25/14,4/15/18,1/28/23,1/24/22,12 Dottie Hill,Canton,Ohio,4/16/69,,S,,,,10/29/10,302-789-5114
Abeu Spadelli,203-98-7730,37,SRA,,OP1CF333,25362,Chrisy Wabersich,Office Assistant III,12/31/17,-8H000,,,GSII,11/10/13,11/10/14,304-261-6391,3/2/99,11/9/18,8/25/21,1/5/19,11832 Packers Circle,Charleston,West Virginia,4/13/96,,M,,,,2/14/18,775-486-7179
Dusty Cruddas,117-48-6765,12,SRA,10/1/22,OP1CFT2N,95405,Tomi Barham,Technical Writer,5/18/16,-3A151,,,TSD,9/17/06,8/30/15,707-551-4207,3/31/00,9/15/18,3/9/19,4/20/25,001 Mccormick Center,Santa Rosa,California,3/28/74,,M,,,,8/28/06,317-646-5785
Sanderson Mallinder,124-80-1310,10,AMN,,OP1CFT2N,37919,Gavin Sweetenham,Safety Technician III,9/14/16,-1N131A,,,GS,12/22/05,4/23/18,865-794-2044,3/17/01,6/19/18,9/13/23,6/17/24,54 Stuart Point,Knoxville,Tennessee,7/17/54,,M,,,,8/13/10,713-393-2971
Cece Crich,287-91-5899,6,AMN,,OP1CFT2N,85284,Kathryn Giacobazzi,Senior Cost Accountant,11/4/16,-2T25,,,DOA-F,6/7/18,1/19/18,480-894-3978,12/2/97,11/26/18,9/24/21,12/7/22,33 Sheridan Hill,Tempe,Arizona,4/13/72,,S,,,,11/22/08,970-289-0000
Harri Denisovich,529-94-7667,13,CMS,12/9/20,OP1CFNY2,65211,Millard Brownbridge,Speech Pathologist,9/19/17,-3A151,,,SCXP,5/18/07,12/26/14,573-750-9648,2/8/08,4/4/18,2/13/19,2/15/25,0043 Burning Wood Drive,Columbia,Missouri,7/3/93,,S,,,,7/4/14,239-416-9246
Corabelle Blunsden,103-16-6447,10,AMN,,OP1CFT2N,10060,Brunhilda Wrenn,Dental Hygienist,5/15/16,-3D190,,,TSD,3/1/09,2/7/14,646-582-8169,12/28/07,7/16/18,10/25/23,2/4/20,3 Longview Junction,New York City,New York,9/17/66,,S,,,,8/13/15,347-394-7883
Addia Risdall,302-34-1064,29,AMN,,OP1CF333,33673,Royall Boick,Operator,2/12/16,-1N131A,,,SCOK,3/8/10,9/19/18,813-781-2388,7/2/02,7/19/18,9/24/22,10/19/24,7330 Nova Lane,Tampa,Florida,8/15/91,,M,6/2/19,,,4/21/14,512-834-1881
Kin Haggar,215-84-8420,9,A1C,,OP1CF333,73119,Patrizius Llopis,Help Desk Technician,4/6/18,-3D052,,,IRDP,1/4/18,4/18/15,405-725-5844,3/13/05,12/26/17,12/26/23,5/27/20,29054 Petterle Point,Oklahoma City,Oklahoma,5/16/94,,M,,,,12/25/13,503-358-4144
Gallard Voice,704-29-8329,15,CMS,,OP1CFT2N,80310,Theodosia Pembry,Computer Systems Analyst I,5/13/18,-1N371H,,,SCXP,11/21/08,3/31/16,303-142-2167,12/24/04,10/16/18,12/3/19,8/5/20,229 Maple Plaza,Boulder,Colorado,2/18/81,,M,11/7/20,,,6/2/12,303-987-7323
Darcie Savage,896-58-4774,25,TSG,,OP1CFS14,78220,Demetri Josephoff,Automation Specialist III,9/3/16,-3D072,,,SCOI,3/1/08,5/14/13,210-822-4815,5/14/13,1/25/18,4/11/22,5/11/21,71116 Oxford Park,San Antonio,Texas,7/7/77,,S,,,,6/6/10,210-693-1754
Laurence Godby,822-86-3915,7,SRA,,OP1CFS14,70154,Benjamen Savins,Geologist III,1/9/18,-1N131A,,,DOML,9/24/12,8/24/18,504-883-2425,1/28/08,9/4/18,12/27/20,4/22/19,15795 Cordelia Circle,New Orleans,Louisiana,4/10/98,,S,5/17/21,,,8/11/09,206-344-0318
Hobart Bartholomieu,657-07-1298,40,SSG,,OP1CFS14,89145,Korney Ballendine,Legal Assistant,6/25/16,-3A151,,,CCE,10/14/08,11/16/15,702-237-5281,10/10/03,10/11/18,3/25/24,6/8/19,730 6th Pass,Las Vegas,Nevada,8/5/56,,S,5/25/19,,,11/22/08,508-966-0646
Bronson Wiggin,257-80-7982,37,CMS,3/14/19,OP1CFR72,20436,Berny Sprakes,Geological Engineer,3/23/16,-1N131A,,,IRDP,8/11/06,2/26/17,202-595-8126,2/11/98,6/7/18,5/22/19,4/5/19,901 Blackbird Road,Washington,District of Columbia,9/13/86,,M,,,,12/28/05,267-257-8904
Barclay Pretor,329-22-0242,18,A1C,8/2/21,OP1CFS14,53705,Faustina Mintoff,GIS Technical Architect,6/1/17,-3D052,,,SCOI,9/8/07,4/5/17,608-975-8698,10/8/99,10/22/18,11/12/23,7/31/25,4 Maryland Court,Madison,Wisconsin,7/3/83,,M,8/20/21,,,10/13/06,951-179-8421
Mel Meharg,365-16-6756,25,MSG,5/3/21,OP1CFNY2,20591,Shelly Regis,Teacher,11/25/16,-8H000,,,DOM,8/21/15,7/16/16,202-167-6229,6/7/05,9/11/18,1/22/19,2/7/20,17560 Gerald Avenue,Washington,District of Columbia,4/5/68,,M,,,,2/20/13,678-312-6743
Fifi Haveline,291-99-7950,39,SRA,8/25/22,OP1CFS14,97240,Shelby Cavendish,Librarian,6/29/18,-3D052,,,GS,5/27/07,6/21/12,971-332-6660,8/1/16,5/25/18,1/13/20,6/4/19,53243 Dixon Point,Portland,Oregon,11/12/78,,S,,,,10/24/07,702-708-4436
Hunfredo Banasiak,290-38-7544,15,CMS,,OP1CFR72,33742,Akim Piet,Graphic Designer,1/5/16,-3D133,,,STU,9/24/11,10/28/12,727-458-2112,1/22/14,3/8/18,11/19/25,6/25/22,03897 Shoshone Drive,Saint Petersburg,Florida,5/4/86,,M,3/20/19,,,3/31/10,509-692-2007
Riordan Moody,723-75-5761,40,A1C,,OP1CFR72,23471,Lynn Comusso,Business Systems Development Analyst,1/6/16,-3D172,,,DOM,9/15/09,9/15/16,757-771-0256,11/21/01,5/16/18,11/9/24,6/3/23,750 Sutteridge Crossing,Virginia Beach,Virginia,9/1/90,,S,,,,10/8/18,562-992-4919
Alejoa Westney,238-23-0029,14,AMN,,OP1CF333,23514,Othelia Scambler,Account Representative IV,12/10/15,-3D172,,,DOML,8/20/06,5/24/13,757-307-0583,9/21/16,9/16/18,10/15/25,9/18/24,628 Shopko Park,Norfolk,Virginia,5/25/81,,S,,,,10/24/14,513-177-9760
Zebedee McKaile,104-93-1007,38,AMN,7/30/21,OP1CFS14,11254,Guido Folk,Account Executive,6/20/18,-3D131,,,SCXP,9/29/09,2/17/16,212-378-3311,3/24/98,8/24/18,4/25/25,2/27/23,6 Florence Junction,Brooklyn,New York,8/27/53,,S,,,,9/26/07,814-755-4694
Lorri Cottesford,520-23-7970,16,A1C,,OP1CFR72,20430,Althea Batchelor,Assistant Manager,10/9/18,-3A151,,,ART,1/30/16,5/13/17,202-551-2851,9/23/07,8/12/18,10/7/24,9/14/23,76246 Rieder Point,Washington,District of Columbia,3/25/61,,M,,,,12/17/17,281-206-8354
Agnese de Savery,880-49-0015,22,MSG,,OP1CFT2N,20430,Ilyssa Alexandre,Recruiter,6/26/17,-3D072,,,TSD,8/25/18,6/13/14,202-133-2680,10/5/12,5/12/18,1/10/25,11/11/22,10 Northland Place,Washington,District of Columbia,8/31/71,,M,,,,5/8/15,682-187-1256
Wilmette Crayke,441-18-0176,33,SMS,,OP1CFR72,90310,Tatiana Hendrick,Mechanical Systems Engineer,12/5/17,-1N371H,,,CSS,8/18/07,6/19/12,310-856-7832,7/4/11,5/13/18,6/25/19,10/9/20,3 Merchant Drive,Inglewood,California,3/31/84,,S,,,,6/19/14,202-429-4796
Milena Kobpal,843-53-1991,18,SSG,3/17/21,OP1CFNY2,47705,Mikael Nerval,Developer III,3/1/18,-3D072,,,SCOK,7/31/17,9/26/16,812-845-9023,6/5/00,1/25/18,6/12/25,2/24/22,820 Kennedy Place,Evansville,Indiana,3/31/77,,S,,,,9/19/16,832-950-3749
Alane Pimlock,489-52-6176,2,AMN,4/13/22,OP1CF333,70183,Bowie Mattson,Nurse Practicioner,8/2/18,-3D172,,,CCC,10/5/18,1/6/17,504-400-0695,6/9/05,12/24/17,4/28/19,5/20/25,0 Lake View Avenue,New Orleans,Louisiana,11/8/98,,S,,,,9/26/13,281-829-1649
Giffard Barzen,190-31-4349,8,AMN,,OP1CF333,23225,Madelin Bettam,Senior Developer,12/10/17,-1N471B,,,SCOK,5/2/16,9/2/13,757-895-2623,9/14/13,4/22/18,1/10/24,9/19/20,3 Sutteridge Road,Richmond,Virginia,10/24/94,,M,12/19/19,,,8/11/16,713-522-9267
Sharleen Sjollema,393-27-0033,8,SRA,,OP1CF333,11054,Renae Bassham,Teacher,9/27/17,-1N131A,,,DOML,1/12/18,10/8/12,516-116-1552,11/17/12,11/13/18,8/4/24,1/12/19,8729 Texas Circle,Port Washington,New York,4/20/95,,S,,,,12/10/10,713-773-2551
Barry Pymm,897-66-6309,29,TSG,6/3/20,OP1CFR72,93311,Cloe Delacroix,Information Systems Manager,12/5/17,-1N051,,,SCOO,3/4/06,7/5/15,661-458-3120,1/16/13,2/11/18,9/8/23,8/6/22,50 Daystar Court,Bakersfield,California,1/4/75,,M,,,,8/22/18,810-530-1748
Welbie Kerwen,250-92-5629,24,SMS,,OP1CFS14,83206,Mandy Waker,Food Chemist,9/4/17,-3D152,,,IRDP,10/3/12,12/2/11,208-500-9223,7/15/04,2/23/18,1/5/21,2/21/20,2 Rutledge Center,Pocatello,Idaho,8/16/64,,S,,,,1/21/17,407-671-3489
Betty Mohan,685-02-4231,38,A1C,,OP1CF333,32399,Cheryl Loughhead,VP Quality Control,10/26/17,-3D153,,,GSII,3/13/12,1/21/18,850-634-8065,12/4/09,10/24/18,8/21/19,12/9/21,8 Green Road,Tallahassee,Florida,11/24/75,,S,,,,9/18/14,651-676-7047
Dredi Cunnow,751-89-9795,17,AMN,,OP1CF333,78291,Almeria Gainsford,Research Nurse,9/13/17,-3D052,,,DOML,11/30/13,1/28/14,210-508-8586,12/20/03,8/3/18,5/20/19,9/15/22,438 Service Avenue,San Antonio,Texas,2/22/95,,S,,,,2/21/09,202-234-7071
Reese Twort,299-78-0616,27,CMS,6/28/21,OP1CFR72,15134,Calv Trace,Marketing Manager,3/20/17,-2T25,,,GS,8/21/13,1/21/17,412-148-7541,6/14/05,3/18/18,4/2/22,9/30/23,4951 Erie Road,Mc Keesport,Pennsylvania,10/24/80,,S,7/12/20,,,11/16/10,302-658-4028
Bryanty Aldins,286-52-8992,24,AMN,,OP1CFNY2,30340,Sandi Dory,Programmer Analyst III,2/9/18,-8H000,,,GS,9/13/12,11/19/14,404-583-1007,11/16/00,9/6/18,1/25/25,7/18/24,8198 Elka Court,Atlanta,Georgia,7/12/89,,S,8/27/21,,,3/23/07,303-661-2863
Kesley Paulo,279-30-4302,4,A1C,,OP1CFT2N,20816,Sylvan Skyrm,Graphic Designer,7/27/17,-2T25,,,SGPF,7/26/18,12/13/15,240-111-6916,6/22/10,7/1/18,5/27/20,4/8/21,9414 Dunning Plaza,Bethesda,Maryland,9/24/83,,S,10/16/21,,,8/2/13,904-314-9349
Zuzana Aiskovitch,533-18-4454,20,MSG,2/12/20,OP1CFR72,24503,Celie Fratczak,Biostatistician III,4/16/16,-3D072,,,DOO,5/18/13,8/17/17,434-963-1158,6/15/08,2/14/18,12/29/21,10/23/20,3 Burrows Terrace,Lynchburg,Virginia,2/20/58,,S,3/27/19,,,9/3/10,917-774-0738
Jessi Hattrick,775-32-1340,37,CMS,,OP1CF333,95064,Austin Zambonini,Director of Sales,6/21/18,-3D072,,,DOM,3/11/14,5/17/12,831-387-5879,5/16/13,10/12/18,10/14/25,9/28/19,2 Crescent Oaks Way,Santa Cruz,California,10/11/80,,M,,,,9/28/06,520-716-1500
Rayner Caustic,484-56-7196,37,TSG,,OP1CF333,50315,Mason Dury,VP Marketing,5/18/16,-1N131A,,,DOA-F,8/3/11,3/17/17,641-260-5597,3/24/01,1/19/18,9/9/21,9/8/21,4 Myrtle Avenue,Des Moines,Iowa,7/17/91,,M,,,,6/13/08,754-473-9461
Elfreda Catley,169-01-1126,35,A1C,,OP1CF333,23277,Baxie Heibel,Analyst Programmer,10/31/16,-3A151,,,TSD,7/8/15,5/7/13,804-746-6089,9/8/04,9/24/18,9/16/21,9/26/25,985 Jackson Center,Richmond,Virginia,8/5/60,,M,,,,8/31/09,915-887-2887
Shaina Van Zon,250-75-6999,38,TSG,,OP1CF333,40266,Hortensia Pilipets,Speech Pathologist,7/20/16,-3D072,,,IN,1/23/11,4/26/15,502-381-1031,8/8/15,1/14/18,3/22/25,4/25/19,1 Tomscot Court,Louisville,Kentucky,3/20/54,,S,,,,1/31/17,215-750-8393
Estella Saintpierre,890-14-4735,14,MSG,,OP1CFNY2,90405,Gabriellia Maymond,Media Manager IV,11/10/16,-3D153,,,DOO,5/7/13,10/8/13,310-646-3236,12/26/02,12/29/17,10/27/24,11/15/21,494 Center Point,Santa Monica,California,3/9/54,,S,1/21/21,,,7/7/15,724-937-3733
Shannan Mc Coughan,194-78-8802,1,MSG,,OP1CFNY2,10459,Salmon Kilalea,Executive Secretary,12/26/17,-8H000,,,DOML,11/27/16,9/20/18,718-348-8058,7/30/00,7/1/18,10/2/25,11/8/20,833 Helena Plaza,Bronx,New York,4/14/75,,M,,,,7/13/10,210-338-3081
Salomone McGilleghole,151-57-1794,24,A1C,,OP1CFNY2,20238,Anna-diana Rykert,Account Executive,2/18/18,-1N471B,,,SCOI,1/11/08,10/24/17,202-698-0550,3/29/04,1/4/18,9/5/19,10/14/23,4 Basil Crossing,Washington,District of Columbia,1/21/81,,S,,,,4/8/13,719-781-8433
Consolata Sterte,338-93-0455,8,A1C,,OP1CFR72,19131,Hazlett Henkens,Senior Financial Analyst,3/17/16,-1N371H,,,TSD,7/23/10,2/15/17,215-369-4436,10/4/01,11/21/18,8/22/24,11/22/23,46 Evergreen Lane,Philadelphia,Pennsylvania,1/15/64,,M,,,,9/14/15,973-226-3787
Nikos Hackworthy,826-32-3380,23,TSG,,OP1CFS14,33142,Ramona Houndsom,GIS Technical Architect,2/24/18,-3D052,,,IRDP,11/17/14,12/14/17,954-326-9645,2/17/10,4/15/18,1/8/19,4/22/23,3 Algoma Court,Miami,Florida,1/3/65,,S,3/30/21,,,10/16/09,571-965-5942
Ellery Canizares,350-11-0453,31,SRA,,OP1CFNY2,27710,Zora Ratledge,Senior Quality Engineer,12/4/16,-3D052,,,CCC,6/16/11,9/1/14,919-157-8534,7/31/12,11/15/18,1/4/19,9/9/19,32648 Vera Circle,Durham,North Carolina,7/28/59,,M,,,,6/20/08,405-984-6256
Paco Corns,604-38-1217,12,SSG,11/2/20,OP1CFNY2,52405,Giffie Massie,Research Associate,4/17/17,-1N271A,,,SCOO,6/28/11,2/15/14,319-872-7358,3/4/09,5/3/18,12/13/19,7/13/24,3 Artisan Parkway,Cedar Rapids,Iowa,1/31/84,,M,,,,8/11/09,860-466-9486
Angy Hastie,355-98-6883,13,CMS,,OP1CFNY2,98158,Tiebout Siggins,Web Designer III,7/21/17,-3D190,,,GSII,8/1/17,9/24/14,425-888-7166,2/27/10,8/12/18,6/24/19,4/12/23,34308 Warbler Terrace,Seattle,Washington,1/4/92,,S,11/11/20,,,4/12/18,915-598-5228
